STNAME,2008_E11,2008_E12,2008_E13,2008_E14,2008_E15,2008_E16,2008_E17,2008_E18,2008_E11A,2008_E11B,2008_E11C,2008_E11D,2008_E2
alabama,2553753211,1013988946,103804295,2587035,491104,319782186,10007220,14818812,1804977199,304741266,113324891,32245284,64679609
alaska,578916138,412554779,58220404,253685,49614,57778645,14333715,9716959,,,,,
arizona,3392319069,795319935,232646658,5584751,17062167,186256068,161983165,139412910,2255071324,341687820,78404671,111499629,122338095
arkansas,1689264640,442210880,76450288,10372135,10736738,190879748,20877187,17125541,1108672797,177015669,84765135,140803469,43070866
california,24408875167,7890652494,1685441818,768743270,399267318,2190205445,47412903,3586386,18006362824,2794441567,152299754,854189829,608426383
colorado,2815247254,933354668,103557233,53048418,8330034,281898270,55644576,62285149,2048330776,334175090,78776335,92050280,65980264
connecticut,3343802807,1263905104,157190087,333705043,54718838,122526472,36632745,7503496,2160410918,359343792,39580526,116516195,
delaware,578066875,257760317,12841780,5895517,63777136,33087199,2705253,9164913,360134869,114065277,17116980,23147455,8027432
district of columbia,420355775,63321432,68566969,34540141,,92048679,20986729,9372281,194108045,49321082,7851090,14285027,2525270
florida,9189112269,2708436723,2018889093,1581277,,568254713,85465693,108374846,5574186018,1887609484,251024393,395840754,239325713
georgia,6890147212,2421620241,196516142,5740422,8810851,574439030,41567420,39845587,4627824026,1124348538,196505282,210160785,148688228
hawaii,825054797,285816565,62095112,4530590,,95675875,7770018,8662873,528468876,113988294,5112826,26012802,3889155
idaho,795234967,256148666,43967499,1070497,260019,56441247,11419555,325770,630003709,116155398,6099237,41049637,
illinois,8780141260,2799518548,402164384,383309972,631422982,469018815,127755796,25012188,,,,,
indiana,3681735767,998932254,118176958,119485574,66584981,97488650,19056560,28136127,,,,,
iowa,1952930339,592046164,56182816,23272046,225004619,95949632,26203436,3534543,1244881899,286104768,79612661,175094524,29062060
kansas,2039934061,498438184,73793919,2512655,9164830,152382987,97835618,18466611,1439535716,274804944,64068113,24388470,46144905
kentucky,2477698439,765049635,61840279,199509,4151545,133232502,57777002,13663261,1791754548,372446458,20234806,21966507,50772686
louisiana,2720712574,927875890,87778709,1336477,2318436,264982619,71227679,9236204,1660737053,410714863,76387517,243191639,67688233
maine,921456150,375231075,52596450,82634136,114731052,40939695,7412399,5930576,630055339,156342550,15521147,15024374,8781709
maryland,4545794776,1669202472,170987852,255875606,3217269,206409150,55992913,7469130,2936140972,612856567,103636027,155772448,50242579
massachusetts,5285693418,2391561573,47487544,617213670,402106173,186548196,898848,17521031,3155307546,690559699,204598453,46218932,66927975
michigan,6022723390,2765379038,569328687,126445,81622467,289372186,46463365,19017280,4226199000,803162311,139690347,203057711,77437486
minnesota,3771176184,1161436146,240951128,58334869,172196410,184753870,56182643,13111463,2264487812,576474552,76853955,60256249,48540842
mississippi,1608319306,488539886,52785521,5382730,2241307,132128942,43859540,9267263,1062142009,203644141,79508744,48404301,31740675
missouri,3621223795,928543499,156470647,9289128,83602161,378017960,65914882,20834169,2439645294,528855585,90702789,260888791,90910402
montana,555735430,156887709,54970265,750138,2045764,67036174,5931032,4035726,441576907,41400208,16480167,734444,11556112
nebraska,1319901807,432364616,65969349,13339616,8976190,66155908,28306593,13533053,940235088,219203440,,66339032,16751776
nevada,1371429360,493667056,45880330,1801326,439682,168807876,5668719,7664948,1034042927,211505584,17371172,13614182,41774716
new hampshire,967073625,370606161,39190015,125828287,103822918,42565120,14070325,2919902,625365941,140874155,20756077,8221911,
new jersey,8661066891,4279503333,360992256,611550715,781235008,437401164,24865113,123371081,4004130074,1520520810,80600749,354204460,74380586
new mexico,1220474796,365724715,62854760,,,109541384,4072128,222254,768109061,238530972,19706252,56177669,23067984
new york,20863490167,8566667151,1481226288,271761505,487787033,813379677,110228465,4618238,,,,,
north carolina,5464226279,1318279507,190866319,,,331245191,563,47718,,,,,
north dakota,369246416,104249183,14568096,1013149,49906479,23605495,9341983,2461247,257536185,63820824,21686809,26202598,
ohio,7134459604,2368094894,515629978,197052313,909398870,434255642,140839675,151786591,4760374058,1248557019,331230339,4460,115484228
oklahoma,2035769518,553177049,40502617,,7169670,207652241,16421639,8483607,1281226806,188246332,52795415,234371151,
oregon,1903277026,891955354,132056141,22648619,74568414,192512977,5751221,15617415,1216968445,167786932,36538769,86777447,43468417
pennsylvania,8376840204,3056171089,646786587,227048789,1785921865,518829959,187571633,23631833,6175169866,1586153192,279164078,336353068,213449927
rhode island,824987382,351928834,11554719,75223521,36299330,23408280,9420423,1108978,582564197,138143775,12394818,39154401,5437137
south carolina,2612886311,760645250,117225246,992795,14722243,161825949,44220357,28509000,1970616516,507285652,98810425,32118539,26783145
south dakota,405552351,113527321,27054195,7724177,3545569,47256851,12396105,1607325,294333242,28169416,11419093,15942358,11910464
tennessee,3273963709,924869956,88284122,331673,670431,456625761,75665665,14992350,2549483050,485276652,148628623,90375374,76960207
texas,18006206244,2771172182,737297249,44588559,31982155,1567456053,117485123,214914973,,,,,18732509
utah,1411871243,583973266,58643416,444849,994269,176635818,61899739,7852188,903094088,136449468,63099049,82240661,4246318
vermont,533205542,190186356,45069275,60837793,353645962,21960876,9776677,1928507,349984678,68835691,14928185,17879850,4668733
virginia,5546234649,1967349537,166721957,5852204,314938969,313314296,103333709,3911421,3518079129,1013623557,239442486,122217101,81266328
washington,3818642233,1154375197,286519900,11015515,22266345,242295355,24018821,42556283,2306913667,325374782,153798521,522829374,
west virginia,1052098096,506322764,31524385,663169,1258783,92283425,11588697,194276,675311589,153022710,45427127,3310361,31912802
wisconsin,3571389694,1719827769,89780410,105917157,186440955,196466650,56058628,10433657,2700737155,697783554,164805993,,36179018
wyoming,479265386,167150235,24382083,1018269,6577929,32024159,14139526,1007341,316380281,83974226,13191135,16243910,7294960
