STNAME,2006_E3A11,2006_E3A12,2006_E3A13,2006_E3A14,2006_E3A2,2006_E3A16,2006_E3A1,2006_E3B11,2006_E3B12,2006_E3B13,2006_E3B14,2006_E3B2,2006_E3B16,2006_E3B1,2006_E4A1,2006_E4A2,2006_E4B1,2006_E4B2,2006_E4C1,2006_E4C2,2006_E4D,2006_E4E1,2006_E4E2,2006_E61,2006_E62,2006_E63,2006_E7A1,2006_E7A2,2006_E81,2006_E82,2006_E9A,2006_E9B,2006_E9C,2006_E9D,2006_E91,2006_X12C,2006_X12D,2006_X12E,2006_X12F,2006_TX12,2006_NCE13,2006_ADA,2006_A14A,2006_A14B,2006_PPE15,2006_MEMBR
alabama,126356741,81266365,8118380,162492066,9676871,260700,378494252,,,,,,,,,,,,,,,,,568901113,34665566,1090636,126642357,219255610,4392325,59655,5213908,48910000,,54405772,82138,165071452,19394445,4345018,,486023763,5213052356,714197,,714197,7299,741761
alaska,15705532,7350842,913835,20031065,561251,4417,44005691,611222,270905,3396951,2064043,894226,91970,6435091,,,,,,,,,,190276669,18679242,12735455,37842026,42600126,6885629,13422,,787256,,,,42696403,968522,2203553,56318,65055242,1464589459,122010,122010,,12004,133288
arizona,99740916,27658250,58099525,135850124,27090253,11294388,332643203,,,,,,,,,,,,,,,,,711005412,125400916,12678332,220256713,421321436,47145938,1293153,,1868812,,,,261495803,,5179144,106660,491824242,6638517109,933663,933663,,7110,1094454
arkansas,73678579,21122347,4870417,94319019,1974214,521713,194512075,,,990746,1025201,,936525,2952472,,,,,,,,,,161054205,251696203,3913515,95721173,79653263,10827574,43330,,14167230,,,461586,119645655,,1252534,,263712441,3544298515,435278,435278,,8143,474206
california,664456147,257249864,57363403,947680068,13233012,190043,1926939525,55774762,23094421,21872603,9138834,743053,287639,110168259,,,,,,,,,,8462828203,1133729665,145311189,1397060113,1513797269,420351861,1031643,,622989706,,,872747,1814701754,396473108,4645501,24435445,2837333403,50598769405,6349270,6349270,,7969,6437202
colorado,67753355,17485941,13398444,97679273,5090170,742111,197059124,9790236,1974259,1762612,2600131,313557,239194,16366432,,,,,,,,,,803073161,34842204,43757711,320521709,335696210,44055007,280508,,19806500,,,242063,152511763,1165847,3092691,94625,452562980,5915726309,712476,712476,,8303,779826
connecticut,67615582,29636235,16094795,87666363,4259706,1990379,203003354,39344062,8834483,9003086,5031805,742229,1112104,63325540,,,,,,,22679419,,,833212347,118972910,49639470,146349306,333994141,49490905,1357473,28906925,39194693,,,,91680001,25904690,1070757,929788,249752589,7267272365,558423,,558423,13014,575059
delaware,24102092,6638976,3282973,31035418,1554476,854007,65913466,,,,,,,,,,,,,,2998608,,,189358476,33193060,1565589,30112791,53097855,178713,4851,548752,12433711,,,,19696682,13582720,770387,753139,52288945,1353176310,113986,,113986,11871,120937
district of columbia,10197148,2344845,1481545,12093228,,,26116766,,,,,,,,,,,,,,,,,87606489,12509175,5219245,,,13317661,100265,,,,,,63369907,11250734,928453,433321,86388095,970777667,59137,59137,,16416,76876
florida,297335089,135537468,69592101,440598407,13008217,22865111,965928176,,,,,,,,,,,,,,,,,3636960058,411615345,568530167,607278212,666657574,211819735,2259328,,256466811,,,11908538,541917355,90976301,10860198,4632104,1489924926,19407402287,2494778,2494778,,7779,2675024
georgia,236776465,53511174,23966071,341226971,10133154,4764596,660245277,4885117,321039,5271617,22449865,734584,9740096,42667734,,,,,,,,,,1457523544,185162091,111810352,169544093,527013284,30053467,241934,,6156929,,,32351,329769439,51325195,4207122,805541,873391341,12865871707,1499317,1499317,,8581,1598461
hawaii,38047550,13175022,3144552,30080215,665225,5492,84452831,,,,,,,,,,,,,,92616,,,33110191,3653667,749866,85210519,115200348,47008724,6148543,,12355972,,,154994,25199234,21915792,291405,,71320606,1734200414,168009,,168009,10322,182818
idaho,26445655,11879401,3478916,37072643,1494241,7638,78884253,,,339676,4336,,,344012,,,,,,,,,,123709585,16116183,21305725,37302854,123682601,4070158,12679,,448539,,,195,48874706,,848813,,83197120,1611630341,247009,247009,,6525,261982
illinois,179011679,58533987,152917325,239138363,6771706,913108,630514462,,,,,,,,,,,,,,,,,1286870350,183745175,76666178,543584946,862695785,125587752,1606791,,24896089,,,109041,516476210,20963866,7878199,2456457,1026956868,18217950738,1871619,1871619,,9734,2111706
indiana,130477127,49512957,11579379,184606018,4949461,2047014,378222495,,,,,,,,,,,,,,,,,582749187,83209721,149950761,436478110,681363995,25618266,361047,690101,36755855,,,407406,174453721,,1759651,,469911907,8772074062,966967,,966967,9072,1035074
iowa,64384348,19431141,3392914,96018993,3757287,213806,183441202,2248243,609783,228246,1834322,18505,8117,4928711,,,,,,,,,,472294596,14529574,18802974,68036144,266624863,22967195,377478,4388195,4328830,,,225039,63036523,887719,1609964,31449,200057512,3839331574,477491,,477491,8041,483482
kansas,67848843,17288195,3840102,95751887,2825646,2312540,187041567,,,,,,,,,,,,,,,,,127767363,25766364,6407508,135381332,175616671,839558,93284,,3645882,,,6675,80946661,9726711,1761996,1232258,212616344,3826800618,407812,,407812,9384,467525
kentucky,107930875,38485060,7975262,137834363,7279745,634970,292860530,7147186,2212757,129107,827997,121201,76753,10393800,,,,,,,,,,489691070,35517677,27396382,126906703,157418933,64872098,518050,1675398,14107059,,,506481,122749819,73968181,1403477,1260410,311259239,4902360543,580937,,580937,8439,679878
louisiana,116169582,56192069,11093197,129036737,6905713,1833431,314325016,74520,21942,1400,,,12125,109987,,,,,,,,,,290307523,59031405,6050743,104979719,252807126,7331761,22049,47528299,13741803,,,155255,165028881,70976598,934634,1888220,293971859,5260306028,648243,,648243,8115,654526
maine,26489574,8966956,4741780,30539849,1938357,560445,71298604,,,,,,,,,,,,,,,,,54880674,22270776,2561376,45962714,83305455,741304,6771,902256,22477818,,,158946,60937691,105526,992890,8838,105444169,2013963909,180223,180223,,11175,195498
maryland,98887957,41430900,9544307,111352825,5109256,1587932,262803921,40822,,91129323,69477883,323916,,160648028,,,,,,,,,,855572295,3436011,40313699,118882347,200543390,16373933,637964,,7948072,,,18785,161913973,,3036108,,471361149,8910251919,800553,800553,,11130,860020
massachusetts,112629824,39096437,1418902,220429323,734747,2848127,376422613,,,,,289501,,,,,,,,,,,,990818848,141473601,38670884,287466620,472562327,44830813,144750,9815256,4762111,,,,226153820,,3192827,,438138547,11308871516,930151,,930151,12158,971909
michigan,144803257,67201600,93786770,214169009,8776813,4382866,524343502,,,,,,,,,,,,,,,,,1376984278,196617138,197775271,852428406,1034510290,265250194,1826238,,86049944,,,373113,358887888,47947162,4857160,1670201,754446846,15927534578,1574023,1574023,,10119,1742282
minnesota,106282625,29341134,27031470,161171537,7331841,632873,324459639,7920559,2194701,11139268,274450,3556827,400424,21929402,,,,,,,,,,756324166,107994184,85651495,399891314,534547127,298405579,2864627,13996235,47209955,,,282780,123774057,,3351655,,423487056,7263151237,787521,787521,,9223,839243
mississippi,62712968,31367062,5974786,104364560,5599292,247594,204666970,,,547,283376,,,283923,,,,,,,4722901,,,105452777,15599430,6508603,69058720,168848855,24614184,392604,,3604876,,,45806,173040752,,45532376,,323009448,3227251260,461112,461112,,6999,494954
missouri,94486600,28820817,68035972,140468779,6758162,7178646,338990814,,,,,,,,,,,,,,,,,507352972,23017040,30226067,263426429,451319713,129769826,1542828,,39129633,,,647756,149782478,38441760,1969172,1136592,529071466,7063413806,859441,859441,,8219,917705
montana,15940735,6054967,7342152,20494927,215372,616860,50449641,1006901,330317,226652,123164,34325,10913,1697947,,,,,,,,,,72625713,6854317,1365589,13184905,25975676,2129335,67559,18174,5060271,,,693648,42951715,3124596,1874828,208107,102361233,1151998578,129948,129948,,8865,145416
nebraska,37607944,8908884,10063659,46496825,1830700,1248020,104325332,628948,92591,12749926,32211090,922749,30664673,76347228,,,,,,,,,,127808114,18249494,27408836,55274330,97454970,4465211,121197,,686367,,,,48235367,,449472,1352980,189980329,2482648673,262805,262805,,9447,286646
nevada,32877555,11192304,3373316,51989222,908082,2170788,101603185,,,,,,,,,,,,,,,,,568044971,106876128,2746615,210477912,230590073,657844,,,16483396,,,418408,73610670,,1440260,,198365578,2761362720,383403,,383403,7202,412395
new hampshire,21998672,5707897,5970202,28389108,1158314,259463,62325342,,,,,,,,,,,,,,,,,131875524,30157730,12582811,49262754,93626393,1316464,22826,260272,4766261,,,260788,29546531,,,,78740643,2060372020,199952,199952,,10304,205767
new jersey,166064142,37292302,35656476,217831992,5408508,11316972,468161884,38898233,9477742,47388711,80363355,11057366,10267554,186395595,,,,,,,,,,1635263536,183761652,12893063,345635844,405077836,14628245,397046,115921184,74484935,,,744325,216602118,,461044,,706207379,20163785327,1358562,1358562,,14842,1395602
new mexico,34842487,13368810,14245031,56216512,1429875,141586,118814426,525688,124851,454058,319648,,,1424245,,,,,,,,,,218909494,80384659,52695668,38025979,114518027,28615009,196514,,,,,,98339760,24051215,1246265,512854,176227109,2553479838,323964,323964,,7882,326758
new york,390972454,60132635,121119941,328099810,11761187,17132415,917457255,,,,,,,,,,,,,,,,,1608696319,58903650,157064901,1248257167,2039643507,138442602,1480625,387751306,239235370,,912746172,7953518,1010367964,154974425,,12843807,1526881607,39622575192,2556705,2556705,,15498,2815581
north carolina,213955483,64940358,18262983,269403253,1644163,17104587,583666664,,,,,,,,,,,,,,,,,943019416,67829840,142094306,367854448,5205534,49250543,85843,,75821,,,4597,226714607,80776410,1295063,5180591,573971751,9902083821,1319335,1319335,,7505,1416436
north dakota,14143018,2726639,1104147,24583814,795376,509157,43066775,1711103,448234,5291059,14414891,1463396,4470991,26336278,,,,,,,,,,56416932,10119028,455858,11107877,19739367,3897416,127655,,2365021,,,35013,37593298,,4186085,,86336751,771437650,92843,,92843,8309,98283
ohio,207855804,100913498,44505075,231066255,6062669,2305748,586646380,311026,37618,38457,1573019,19885,76702,2036822,,,,,,,,,,1772619977,27236026,3090940,477555596,879376414,189013208,12825380,135659106,92554424,,12282765,13511427,443728192,20091470,11874109,1039156,1161379143,16668219863,1730080,,1730080,9634,1839683
oklahoma,85357166,25553454,18988222,117500680,4022640,331251,247730773,,,,43485767,,,43485767,,,,,,,,,,271618077,39801102,5996927,43002798,295520324,4044269,6172,655309,8787076,,,,127786643,31108465,1465478,584844,392466881,4013535510,591486,591486,,6786,634739
oregon,42365251,24760784,27920303,73166697,1135767,660654,168873689,472758,133720,588068,725649,12132,9034,1929229,,,,,,,,,,262822780,12214812,2971006,225819207,392189745,16711680,140306,,1773889,,,274,132698687,28120681,2834451,1264743,308113172,4465637394,513650,513650,,8694,552194
pennsylvania,197023789,74810839,168351229,218868461,12638115,14935034,673989352,32074668,21994788,11410527,11876944,3099196,2372683,79729610,,,,,,,23202062,,,1756705076,17562745,8810975,827240630,1742178283,116048780,1120115,355602707,36673606,,215760,3966868,448277491,32726256,6818119,932914,907374141,18723632064,1702566,,1702566,10997,1830684
rhode island,3698660,1746877,35533165,8299634,127708,247539,49525875,,,,,,,,,,,,,,,,,9992052,7248975,717431,31940521,44967796,935970,58,16257496,2132880,,29927012,95300,39131366,6959681,554461,469975,70371924,1864057448,139001,,139001,13410,153422
south carolina,92008563,33528546,18673541,138195846,9013082,1516337,283922833,64064,19085,55082,509376,2683,18013612,18661219,,,,,,,,,,785701547,63108010,53689405,242006098,362595100,23613609,128413,196999,46471500,,,393763,170699606,,2432140,,407511157,5289117860,647703,647703,,8166,701544
south dakota,17509899,4930281,5349474,21029423,1442874,205792,49024869,2315147,491482,605288,523005,53347,19209,3954131,,,,,,,,,,42157258,6019560,2565763,20389914,35896415,3022814,24911,,115615,,,,18849841,15864319,113231,824890,68233300,880438193,114673,,114673,7678,122012
tennessee,128402439,43208224,10190944,138831719,7074177,2873733,323507059,,,,,,,,,,,,,,,,,365937482,52500337,19365176,151995770,256914419,53327760,600636,,,,,,209268866,74185415,3939096,2303480,728508791,5952936505,881414,881414,,6754,953928
texas,612069000,183934811,126974356,843598803,30418403,14256042,1780833012,,,,,,,,,,,,,,,,,5166516681,239341235,375865830,1826765552,1438423064,263265196,1039083,,40663310,,,180101,763363650,580256226,4936736,13605474,2225067540,31626705731,4186812,4186812,,7554,4525394
utah,50990979,20310541,4282597,66759187,2886624,6633829,148977133,6632416,3075742,3920386,2239793,645741,1566811,17435148,,,,,,,,,,246338123,157480034,47933378,80273870,155767292,25201870,690291,61601124,,,,752060,53569931,7641307,1450357,333182,137887188,2640349022,478233,,478233,5521,508430
vermont,9587001,3261563,7902978,12396162,296492,105419,33253123,320772,76846,44285,75651,4249,959,518513,,,,,,,,,,38003277,620081,415604,14091256,27601472,2556023,67272,,1589117,,,6204,31469584,4773167,1244794,100508,58667838,1178774542,92508,,92508,12742,96638
virginia,175251611,61838806,39613106,187448737,6259829,4089037,468241297,958919,143308,604035,480648,37751,,2186910,,,,,,,,,,635730984,274942004,114714982,348663216,289761900,14417650,137848,,53177470,,,346153,219119963,,4765094,,489435440,10981299098,1141790,,1141790,9618,1213616
washington,84580867,39306581,27713639,127366650,2033634,980213,279947950,,,,,,119170609,119170609,,,,,,,,,,1125839801,79729786,129822062,336122738,510275800,41818049,410132,,5531077,,,,132592140,58913377,2351876,2707654,503876310,7735839572,946824,946824,,8170,1031985
west virginia,53552033,32799962,2281009,60329113,1093839,26913,148989030,,,,,,,,,,,,,,,,,13374355,4890246,10291,11000012,34423056,12274876,10766,24462,24274710,,,365888,73790836,37356224,1411958,1407231,142362768,2509128529,271780,271780,,9232,280866
wisconsin,81939902,44822292,42462117,122859865,3908596,436568,292520744,,,27203,71469,3515,500,99172,,,,,,,125376495,,,331606556,32644941,15289132,640770487,380908929,85534901,2889476,22518794,74815,,,773240,168718445,16903176,3001265,1467619,419628677,8325566743,834177,,834177,9981,875174
wyoming,10600272,4767521,1494050,13251987,379256,24803,30138633,242068,61113,154250,123623,104833,6579,587633,,,,,,,,,,113237066,13459388,5004385,3511523,17210000,3217614,848729,,238392,,126628,491,21308515,8117858,459709,523076,46239221,919110577,77757,,77757,11820,84409
